2000026778 = Verdict: Unsolved ; Iters: 4966508 ; Length: -1
2000066259 = Verdict: Unsolved ; Iters: 5636801 ; Length: -1
2000082532 = Verdict: Solved ; Iters: 80065 ; Length: 135
2000126913 = Verdict: Solved ; Iters: 1538705 ; Length: 111
2000179679 = Verdict: Unsolved ; Iters: 346602 ; Length: -1
2000282131 = Verdict: Unsolved ; Iters: 5779062 ; Length: -1
2000289690 = Verdict: Solved ; Iters: 7364231 ; Length: 133
2000361951 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2000365817 = Verdict: Solved ; Iters: 685692 ; Length: 122
2000494049 = Verdict: Solved ; Iters: 178146 ; Length: 132
2000540352 = Verdict: Unsolved ; Iters: 5792478 ; Length: -1
2000564083 = Verdict: Solved ; Iters: 38264 ; Length: 115
2000589736 = Verdict: Unsolved ; Iters: 2492831 ; Length: -1
2000606431 = Verdict: Solved ; Iters: 740183 ; Length: 141
2000612766 = Verdict: Solved ; Iters: 566424 ; Length: 130
2000631989 = Verdict: Solved ; Iters: 414031 ; Length: 134
2000634475 = Verdict: Solved ; Iters: 886609 ; Length: 126
2000716979 = Verdict: Unsolved ; Iters: 559740 ; Length: -1
2000721787 = Verdict: Solved ; Iters: 4849947 ; Length: 179
2000724817 = Verdict: Unsolved ; Iters: 10385687 ; Length: -1
2000763947 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2000799544 = Verdict: Solved ; Iters: 242031 ; Length: 122
2000846524 = Verdict: Unsolved ; Iters: 915263 ; Length: -1
2000883922 = Verdict: Solved ; Iters: 164111 ; Length: 141
2000974610 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2000989817 = Verdict: Solved ; Iters: 3029399 ; Length: 167
2001006520 = Verdict: Unsolved ; Iters: 3160739 ; Length: -1
2001021117 = Verdict: Solved ; Iters: 5779821 ; Length: 116
2001221241 = Verdict: Unsolved ; Iters: 7427293 ; Length: -1
2001235644 = Verdict: Solved ; Iters: 793968 ; Length: 138
2001245101 = Verdict: Solved ; Iters: 860024 ; Length: 127
2001411088 = Verdict: Solved ; Iters: 253069 ; Length: 128
2001427858 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2001457486 = Verdict: Unsolved ; Iters: 81515 ; Length: -1
2001476899 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2001499529 = Verdict: Unsolved ; Iters: 348590 ; Length: -1
2001605982 = Verdict: Unsolved ; Iters: 1179362 ; Length: -1
2001629286 = Verdict: Unsolved ; Iters: 4613261 ; Length: -1
2001693435 = Verdict: Unsolved ; Iters: 10527660 ; Length: -1
2001802997 = Verdict: Unsolved ; Iters: 962810 ; Length: -1
2001827106 = Verdict: Unsolved ; Iters: 6858139 ; Length: -1
2001852172 = Verdict: Solved ; Iters: 675929 ; Length: 120
2001902104 = Verdict: Solved ; Iters: 1294506 ; Length: 137
2001920797 = Verdict: Unsolved ; Iters: 8535353 ; Length: -1
2001995911 = Verdict: Unsolved ; Iters: 2006927 ; Length: -1
2002079336 = Verdict: Unsolved ; Iters: 5633886 ; Length: -1
2002082019 = Verdict: Unsolved ; Iters: 9902744 ; Length: -1
2002109802 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002128517 = Verdict: Solved ; Iters: 8187552 ; Length: 131
2002183812 = Verdict: Unsolved ; Iters: 10117886 ; Length: -1
2002241913 = Verdict: Unsolved ; Iters: 1217382 ; Length: -1
2002262835 = Verdict: Solved ; Iters: 1589962 ; Length: 130
2002327177 = Verdict: Unsolved ; Iters: 29673 ; Length: -1
2002331321 = Verdict: Unsolved ; Iters: 11882637 ; Length: -1
2002378083 = Verdict: Unsolved ; Iters: 1761988 ; Length: -1
2002395968 = Verdict: Solved ; Iters: 2048437 ; Length: 128
2002430157 = Verdict: Unsolved ; Iters: 5100733 ; Length: -1
2002466417 = Verdict: Unsolved ; Iters: 62472 ; Length: -1
2002482639 = Verdict: Unsolved ; Iters: 1072786 ; Length: -1
2002501465 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002621393 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002636651 = Verdict: Unsolved ; Iters: 1078396 ; Length: -1
2002704546 = Verdict: Solved ; Iters: 1113420 ; Length: 121
2002903759 = Verdict: Unsolved ; Iters: 15587391 ; Length: -1
2002908136 = Verdict: Unsolved ; Iters: 1380487 ; Length: -1
2002980219 = Verdict: Unsolved ; Iters: 4674463 ; Length: -1
2002987040 = Verdict: Solved ; Iters: 2811506 ; Length: 133
2003002142 = Verdict: Unsolved ; Iters: 5575528 ; Length: -1
2003008874 = Verdict: Unsolved ; Iters: 6729671 ; Length: -1
2003033710 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2003062512 = Verdict: Solved ; Iters: 44509 ; Length: 127
2003093648 = Verdict: Unsolved ; Iters: 13612317 ; Length: -1
2003112258 = Verdict: Unsolved ; Iters: 6315189 ; Length: -1
2003160353 = Verdict: Unsolved ; Iters: 7103725 ; Length: -1
2003281902 = Verdict: Solved ; Iters: 1171017 ; Length: 122
2003325454 = Verdict: Unsolved ; Iters: 9068125 ; Length: -1
2003326623 = Verdict: Solved ; Iters: 960595 ; Length: 119
2003343359 = Verdict: Unsolved ; Iters: 7170680 ; Length: -1
2003440346 = Verdict: Solved ; Iters: 5557933 ; Length: 137
2003451823 = Verdict: Unsolved ; Iters: 9222777 ; Length: -1
2003481737 = Verdict: Unsolved ; Iters: 1022645 ; Length: -1
2003489822 = Verdict: Solved ; Iters: 261703 ; Length: 106
2003528265 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2003547493 = Verdict: Unsolved ; Iters: 2235950 ; Length: -1
2003628631 = Verdict: Solved ; Iters: 46101 ; Length: 129
2003644961 = Verdict: Unsolved ; Iters: 3455641 ; Length: -1
2003692629 = Verdict: Solved ; Iters: 241535 ; Length: 121
2003727560 = Verdict: Unsolved ; Iters: 767767 ; Length: -1
2003736899 = Verdict: Unsolved ; Iters: 2927281 ; Length: -1
2003749499 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2003828246 = Verdict: Unsolved ; Iters: 5091750 ; Length: -1
2003844794 = Verdict: Solved ; Iters: 1499223 ; Length: 130
2003889155 = Verdict: Unsolved ; Iters: 4898566 ; Length: -1
2003984535 = Verdict: Unsolved ; Iters: 5384534 ; Length: -1
2004055307 = Verdict: Unsolved ; Iters: 15643977 ; Length: -1
2004313925 = Verdict: Unsolved ; Iters: 3434502 ; Length: -1
2004386060 = Verdict: Solved ; Iters: 12840 ; Length: 127
2004429274 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2004500308 = Verdict: Unsolved ; Iters: 503151 ; Length: -1
2004504532 = Verdict: Unsolved ; Iters: 14944871 ; Length: -1
2004548565 = Verdict: Unsolved ; Iters: 1350067 ; Length: -1
2004551207 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2004579076 = Verdict: Unsolved ; Iters: 7845542 ; Length: -1
2004595236 = Verdict: Unsolved ; Iters: 1211835 ; Length: -1
2004659699 = Verdict: Solved ; Iters: 1480649 ; Length: 140
2004704175 = Verdict: Unsolved ; Iters: 2672173 ; Length: -1
2004779579 = Verdict: Solved ; Iters: 167124 ; Length: 129
2004790964 = Verdict: Solved ; Iters: 5500948 ; Length: 161
2004806906 = Verdict: Unsolved ; Iters: 6724405 ; Length: -1
2004826579 = Verdict: Solved ; Iters: 216680 ; Length: 125
2004883811 = Verdict: Solved ; Iters: 171850 ; Length: 146
2004889770 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2004909536 = Verdict: Unsolved ; Iters: 898342 ; Length: -1
2005016770 = Verdict: Unsolved ; Iters: 5492228 ; Length: -1
2005051902 = Verdict: Unsolved ; Iters: 2428252 ; Length: -1
2005125577 = Verdict: Unsolved ; Iters: 4851620 ; Length: -1
2005152541 = Verdict: Unsolved ; Iters: 4637254 ; Length: -1
2005214389 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2005260835 = Verdict: Solved ; Iters: 5816024 ; Length: 129
2005312324 = Verdict: Unsolved ; Iters: 2355112 ; Length: -1
2005354047 = Verdict: Unsolved ; Iters: 848522 ; Length: -1
2005416352 = Verdict: Unsolved ; Iters: 10662199 ; Length: -1
2005454975 = Verdict: Solved ; Iters: 590244 ; Length: 127
2005456587 = Verdict: Unsolved ; Iters: 3333774 ; Length: -1
2005462627 = Verdict: Unsolved ; Iters: 2158672 ; Length: -1
2005469575 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2005533197 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2005666453 = Verdict: Solved ; Iters: 2654900 ; Length: 121
2005752948 = Verdict: Unsolved ; Iters: 6948433 ; Length: -1
2005760114 = Verdict: Solved ; Iters: 537266 ; Length: 120
2005877295 = Verdict: Unsolved ; Iters: 7843559 ; Length: -1
2005891909 = Verdict: Unsolved ; Iters: 18642 ; Length: -1
2005927445 = Verdict: Solved ; Iters: 2415303 ; Length: 117
2005970787 = Verdict: Solved ; Iters: 275353 ; Length: 123
2006032338 = Verdict: Solved ; Iters: 3954742 ; Length: 114
2006040570 = Verdict: Unsolved ; Iters: 6338183 ; Length: -1
2006060482 = Verdict: Unsolved ; Iters: 5477630 ; Length: -1
2006089966 = Verdict: Unsolved ; Iters: 559213 ; Length: -1
2006104370 = Verdict: Unsolved ; Iters: 11145091 ; Length: -1
